S. No.,news_title,news_details,date,source_name,Event,Political Bias,Social Bias,Keywords,Comments
108,आईएएस पूजा सिंघल को ED ने मनी लांड्रिंग मामले में किया गिरफ्तार,झारखंड में तैनात आईएएस पूजा सिंघल को ईडी ने मनी लॉन्ड्रिंग मामले में गिरफ्तार कर लिया है. पूजा सिंघल झारखंड (Jharkhand)  की खनन सचिव हैं. उनसे खूंटी में मनरेगा के पैसों की कथित हेराफेरी से जुड़े धन शोधन के मामले में प्रवर्तन निदेशालय के सामने मंगलवार को पेश हुई थीं.,"बुधवार मई 11, 2022 07:20 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
118,आईएएस पूजा सिंघल को ED ने मनी लांड्रिंग मामले में किया गिरफ्तार,झारखंड में तैनात आईएएस पूजा सिंघल को ईडी ने मनी लॉन्ड्रिंग मामले में गिरफ्तार कर लिया है. पूजा सिंघल झारखंड (Jharkhand)  की खनन सचिव हैं. उनसे खूंटी में मनरेगा के पैसों की कथित हेराफेरी से जुड़े धन शोधन के मामले में प्रवर्तन निदेशालय के सामने मंगलवार को पेश हुई थीं.,"बुधवार मई 11, 2022 07:20 PM IST",NDTV News,Money Laundering,,,,Repeated
138,आईएएस पूजा सिंघल को ED ने मनी लांड्रिंग मामले में किया गिरफ्तार,झारखंड में तैनात आईएएस पूजा सिंघल को ईडी ने मनी लॉन्ड्रिंग मामले में गिरफ्तार कर लिया है. पूजा सिंघल झारखंड (Jharkhand)  की खनन सचिव हैं. उनसे खूंटी में मनरेगा के पैसों की कथित हेराफेरी से जुड़े धन शोधन के मामले में प्रवर्तन निदेशालय के सामने मंगलवार को पेश हुई थीं.,"बुधवार मई 11, 2022 07:20 PM IST",NDTV News,Money Laundering,,,,Repeated
68,"आखिरी सांस तक नहीं छोड़ूंगा शिवसेना', ED की कार्रवाई पर बोले संजय राऊत- बाला साहेब ठाकरे की कसम","प्रवर्तन निदेशालय (ED) की टीम मुंबई में शिवसेना (Shiv Sena) के नेता संजय राऊत (Sanjay Raut) के घर पर पहुंच गई है. पतरा चाल भूमि घोटाला मामले (Patra Chawl land scam case) में दो बार बुलाने पर भी संजय राऊत जांच एजेंसी के सामने पेश नहीं हुए. यही कारण है कि ईडी की टीम आज सुबह-सुबह उनके घर पर पहुंच गई है. ईडी की कार्रवाई पर संजय राउत भड़क गए. उन्होंने टीम के उनके घर पर पहुंचने के बाद ट्वीट करके कहा कि, ''महाराष्ट्र और शिवसेना लड़ते रहेंगे.'' राउत ने कहा कि, ''अब भी नहीं छोडूंगा शिवसेना.'' राउत ने एक अन्य ट्वीट में लिखा है, ''झूठी कार्रवाई, झूठे सबूत, मैं शिवसेना नहीं छोड़ूंगा, आखिरी सांस तक नहीं छोड़ूंगा.''","रविवार जुलाई 31, 2022 10:05 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,Quote by Shiv Sena politician
306,आप नेता और दिल्ली सरकार में मंत्री सत्येंद्र जैन से मनी लॉन्ड्रिंग मामले में पूछताछ,प्रवर्तन निदेशालय (ईडी) ने धन शोधन के एक मामले में बुधवार को दिल्ली सरकार के स्वास्थ्य एवं ऊर्जा मंत्री सत्येंद्र जैन से पूछताछ की. ईडी ने इससे पहले तीन अप्रैल को भी कथित अवैध आय के मामले में आम आदमी पार्टी (आप) के नेता जैन से पांच घंटों तक पूछताछ कर उनका बयान दर्ज किया था.,"बुधवार अप्रैल 11, 2018 04:08 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
180,"आपने क्या किया था जब...', मंत्री की गिरफ्तारी पर शरद पवार ने ममता बनर्जी से पूछा","नवाब मलिक की गिरफ्तारी के मामले में ममता बनर्जी ने NCP चीफ शरद पवार को फोन किया. यह कॉल करीब 10 मिनट चली. इस दौरान, तृणमूल कांग्रेस चीफ ममता बनर्जी ने समर्थन और एकजुटता व्यक्त की.","गुरुवार फ़रवरी 24, 2022 06:41 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
280,ईडी ने 600 करोड़ के चिटफंड घोटाले में एजेंट को गिरफ्तार किया,"ईडी ने दिल्ली, उत्तर प्रदेश के गाजीपुर और हरियाणा के गुरुग्राम, फरीदाबाद और अंबाला में छापेमारी की और शुक्रवार को कंपनी के एजेंट कमल के. बख्शी को गिरफ्तार कर लिया. फरार चल रहे बख्शी को अपराधी घोषित किया जा चुका है.","रविवार जुलाई 30, 2017 12:47 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
201,ईडी ने AAP के निलंबित पार्षद ताहिर हुसैन के खिलाफ मनी लांड्रिंग का केस किया दर्ज,प्रवर्तन निदेशालय (ईडी) ने आम आदमी पार्टी (AAP) से निलंबित पार्षद ताहिर हुसैन (Tahir Hussain) के खिलाफ मनी लॉन्ड्रिंग का भी केस दर्ज कर लिया है.,"बुधवार मार्च 11, 2020 12:22 PM IST",NDTV News,Money Laundering,Anti AAP,Neutral,AAP के निलंबित पार्षद ताहिर हुसैन के खिलाफ,
270,"ईडी ने अमरिंदर सिंह के दामाद के खिलाफ दर्ज किया मनी लांड्रिंग का केस, छापेमारी शुरू ",इस मामले में छापे के दौरान अधिकारियों को कुछ दस्तावेज बरामद हुए हैं और उन्हें सीज किया गया है. ईडी को विभिन्न बैंकों से कंपनी और उसके अधिकारियों की वित्तीय जानकारियां मिली हैं.,"गुरुवार मार्च 1, 2018 10:52 PM IST",NDTV News,Money Laundering,Anti BJP,Neutral,ईडी ने अमरिंदर सिंह के दामाद के खिलाफ,
27,"ईडी ने देर रात शिवसेना सांसद संजय राउत को गिरफ्तार किया, जानें सारे अपडेट","संजय राउत को मुंबई की एक विशेष पीएमएलए अदालत में सोमवार की दोपहर में पेश किया जाएगा, जहां ईडी उनकी हिरासत मांगेगी. ","Aug 1,2022, 7:59 AM IST",ZEE News,Money Laundering,Neutral,Neutral,,
247,"ईडी ने धनशोधन मामले में रॉबर्ट वाड्रा को फिर तलब किया, लंदन में संपत्ति खरीद का है मामला",प्रवर्तन निदेशालय (ईडी) ने कांग्रेस अध्यक्ष राहुल गांधी के बहनोई राबर्ट वाड्रा को लंदन की 19 लाख पाउंड कीमत वाली एक संपत्ति के धनशोधन मामले में मंगलवार को पूछताछ के लिए दुबारा समन भेजा है.,"मंगलवार फ़रवरी 19, 2019 12:13 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
257,"ईडी ने धनशोधन मामले में रॉबर्ट वाड्रा को फिर तलब किया, लंदन में संपत्ति खरीद का है मामला",प्रवर्तन निदेशालय (ईडी) ने कांग्रेस अध्यक्ष राहुल गांधी के बहनोई राबर्ट वाड्रा को लंदन की 19 लाख पाउंड कीमत वाली एक संपत्ति के धनशोधन मामले में मंगलवार को पूछताछ के लिए दुबारा समन भेजा है.,"मंगलवार फ़रवरी 19, 2019 12:13 AM IST",NDTV News,Money Laundering,,,,Repeated
244,ईडी ने मनी लॉन्डरिंग केस में IL&FS के दो पूर्व शीर्ष अधिकारियों को गिरफ्तार किया,मनी लॉन्डरिंग केस में ईडी ने आईएलएंडएफएस (इंफ्रास्ट्रक्चर लिजिंग एंड फाइनेंशियल सर्विसेज) के दो वरिष्ठ अधिकारियों को गिरफ्तार कर लिया है. जानकारी के मुताबिक ईडी ने आईएलएंडएफएस के पूर्व ज्वाइंट मैनेडिंग डायरेक्टर अरुण के साहा और आईएलएंडएफएस ट्रांसपोर्टेशन नेटवर्क के मैनेजिंग डायरेक्टर के रामचंद को गिरफ्तार किया है.,"बुधवार जून 19, 2019 10:31 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
254,ईडी ने मनी लॉन्डरिंग केस में IL&FS के दो पूर्व शीर्ष अधिकारियों को गिरफ्तार किया,मनी लॉन्डरिंग केस में ईडी ने आईएलएंडएफएस (इंफ्रास्ट्रक्चर लिजिंग एंड फाइनेंशियल सर्विसेज) के दो वरिष्ठ अधिकारियों को गिरफ्तार कर लिया है. जानकारी के मुताबिक ईडी ने आईएलएंडएफएस के पूर्व ज्वाइंट मैनेडिंग डायरेक्टर अरुण के साहा और आईएलएंडएफएस ट्रांसपोर्टेशन नेटवर्क के मैनेजिंग डायरेक्टर के रामचंद को गिरफ्तार किया है.,"बुधवार जून 19, 2019 10:31 PM IST",NDTV News,Money Laundering,,,,Repeated
72,"ईडी ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया गिरफ्तार, एनएसई को-लोकेशन केस में मनी लांड्रिंग का आरोप",संजय पांडे (EX Mumbai police commissioner Sanjay Pandey) की यह गिरफ्तारी एनएसई को लोकेशन केस से जुड़े मनी लांड्रिंग के मामले में की गई है. को लोकेशन केस में नेशनल स्टॉक एक्सचेंज की पूर्व सीईओ चित्रा रामकृष्णन मुख्य आरोपी हैं.,"बुधवार जुलाई 20, 2022 05:27 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
82,"ईडी ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया गिरफ्तार, एनएसई को-लोकेशन केस में मनी लांड्रिंग का आरोप",संजय पांडे (EX Mumbai police commissioner Sanjay Pandey) की यह गिरफ्तारी एनएसई को लोकेशन केस से जुड़े मनी लांड्रिंग के मामले में की गई है. को लोकेशन केस में नेशनल स्टॉक एक्सचेंज की पूर्व सीईओ चित्रा रामकृष्णन मुख्य आरोपी हैं.,"बुधवार जुलाई 20, 2022 05:27 PM IST",NDTV News,Money Laundering,,,,Repeated
122,"ईडी ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया गिरफ्तार, एनएसई को-लोकेशन केस में मनी लांड्रिंग का आरोप",संजय पांडे (EX Mumbai police commissioner Sanjay Pandey) की यह गिरफ्तारी एनएसई को लोकेशन केस से जुड़े मनी लांड्रिंग के मामले में की गई है. को लोकेशन केस में नेशनल स्टॉक एक्सचेंज की पूर्व सीईओ चित्रा रामकृष्णन मुख्य आरोपी हैं.,"बुधवार जुलाई 20, 2022 05:27 PM IST",NDTV News,Money Laundering,,,,Repeated
293,ईडी ने वाईएसआर प्रमुख जगन और उनकी पत्नी की 749 करोड़ रुपये की संपत्ति जब्त की,प्रवर्तन निदेशालय ने वाईएसआर कांग्रेस के प्रमुख वाईएस जगनमोहन रेड्डी और उनकी पत्नी वाईएस भारती रेड्डी की धनशोधन मामले की जांच के सिलसिले में 749.10 करोड़ रुपये की संपत्ति को जब्त कर लिया है।,"बुधवार जून 29, 2016 09:54 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
31,ईडी ने सत्येंद्र जैन के खिलाफ स्पेशल कोर्ट में दाखिल की चार्जशीट,"Money Laundering Case : ईडी ने 24 अगस्त, 2017 को CBI द्वारा दर्ज FIR के आधार पर मनी लॉन्ड्रिंग मामले की जांच शुरू की थी. एफआईआर के मुताबिक सत्येंद्र जैन ने 14 फरवरी, 2015 से 31 मई, 2017 के बीच दिल्ली सरकार में मंत्री रहते हुए ज्ञात स्रोतों से अधिक संपत्ति अर्जित की थी.","Jul 27,2022, 16:43 PM IST",ZEE News,Money Laundering,Anti AAP,Neutral,सत्येंद्र जैन के खिलाफ,
74,"ईडी ने सोनिया गांधी को 21 जुलाई को पूछताछ के लिए बुलाया, नेशनल हेराल्ड मनी लांड्रिंग केस में होंगे सवाल-जवाब",नेशनल हेराल्‍ड मनी लांड्रिंग मामले को लेकर प्रवर्तन निदेशालय ने कांग्रेस अध्‍यक्ष सोनिया गांधी को पूछताछ के लिए नोटिस भेजा है. यह पूछताछ 21 जुलाई को होगी.ईडी ने इस मामले में सोनिया को 23 जून को पूछताछ के लिए तलब किया था लेकिन कोस्वास्थ्य संबंधी समस्याओं के चलते कांग्रेस अध्‍यक्ष ने पूछताछ को कुछ सप्‍ताह टालने का आग्रह किया था.,"सोमवार जुलाई 11, 2022 05:12 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
84,"ईडी ने सोनिया गांधी को 21 जुलाई को पूछताछ के लिए बुलाया, नेशनल हेराल्ड मनी लांड्रिंग केस में होंगे सवाल-जवाब",नेशनल हेराल्‍ड मनी लांड्रिंग मामले को लेकर प्रवर्तन निदेशालय ने कांग्रेस अध्‍यक्ष सोनिया गांधी को पूछताछ के लिए नोटिस भेजा है. यह पूछताछ 21 जुलाई को होगी.ईडी ने इस मामले में सोनिया को 23 जून को पूछताछ के लिए तलब किया था लेकिन कोस्वास्थ्य संबंधी समस्याओं के चलते कांग्रेस अध्‍यक्ष ने पूछताछ को कुछ सप्‍ताह टालने का आग्रह किया था.,"सोमवार जुलाई 11, 2022 05:12 PM IST",NDTV News,Money Laundering,,,,Repeated
124,"ईडी ने सोनिया गांधी को 21 जुलाई को पूछताछ के लिए बुलाया, नेशनल हेराल्ड मनी लांड्रिंग केस में होंगे सवाल-जवाब",नेशनल हेराल्‍ड मनी लांड्रिंग मामले को लेकर प्रवर्तन निदेशालय ने कांग्रेस अध्‍यक्ष सोनिया गांधी को पूछताछ के लिए नोटिस भेजा है. यह पूछताछ 21 जुलाई को होगी.ईडी ने इस मामले में सोनिया को 23 जून को पूछताछ के लिए तलब किया था लेकिन कोस्वास्थ्य संबंधी समस्याओं के चलते कांग्रेस अध्‍यक्ष ने पूछताछ को कुछ सप्‍ताह टालने का आग्रह किया था.,"सोमवार जुलाई 11, 2022 05:12 PM IST",NDTV News,Money Laundering,,,,Repeated
75,एनएसई को-लोकेशन मामलाः ईडी ने मुंबई के पूर्व पुलिस आयुक्त संजय पांडे से पूछताछ की,वर्ष 1986 बैच के भारतीय पुलिस सेवा (आईपीएस) के अधिकारी पांडे 30 जून को सेवानिवृत्त हुए थे. मुंबई के पुलिस आयुक्त के रूप में एक मार्च से शुरू हुए अपने चार महीने के कार्यकाल से पहले उन्होंने महाराष्ट्र के कार्यवाहक पुलिस महानिदेशक के रूप में कार्य किया था.,"मंगलवार जुलाई 5, 2022 04:12 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
85,एनएसई को-लोकेशन मामलाः ईडी ने मुंबई के पूर्व पुलिस आयुक्त संजय पांडे से पूछताछ की,वर्ष 1986 बैच के भारतीय पुलिस सेवा (आईपीएस) के अधिकारी पांडे 30 जून को सेवानिवृत्त हुए थे. मुंबई के पुलिस आयुक्त के रूप में एक मार्च से शुरू हुए अपने चार महीने के कार्यकाल से पहले उन्होंने महाराष्ट्र के कार्यवाहक पुलिस महानिदेशक के रूप में कार्य किया था.,"मंगलवार जुलाई 5, 2022 04:12 PM IST",NDTV News,Money Laundering,,,,Repeated
125,एनएसई को-लोकेशन मामलाः ईडी ने मुंबई के पूर्व पुलिस आयुक्त संजय पांडे से पूछताछ की,वर्ष 1986 बैच के भारतीय पुलिस सेवा (आईपीएस) के अधिकारी पांडे 30 जून को सेवानिवृत्त हुए थे. मुंबई के पुलिस आयुक्त के रूप में एक मार्च से शुरू हुए अपने चार महीने के कार्यकाल से पहले उन्होंने महाराष्ट्र के कार्यवाहक पुलिस महानिदेशक के रूप में कार्य किया था.,"मंगलवार जुलाई 5, 2022 04:12 PM IST",NDTV News,Money Laundering,,,,Repeated
295,एनसीपी नेता छगन भुजबल महाराष्ट्र सदन घोटाले के मामले में गिरफ्तार,महाराष्ट्र सदन घोटाले के मामले में एनसीपी नेता और राज्य के पूर्व उप मुख्यमंत्री छगन भुजबल को गिरफ्तार कर लिया गया है। महाराष्ट्र सदन घोटाले के मामले में छगन के भतीजे और पूर्व सांसद समीर भुजबल की पहले ही गिरफ्तारी हो चुकी है।,"सोमवार मार्च 14, 2016 11:42 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
207,एनसीपी प्रमुख शरद पवार और अजीत पवार सहित 70 पर मनी लॉन्ड्रिंग का केस दर्ज,"प्रवर्तन निदेशालय (ED) ने महाराष्ट्र कार्पोरेशन बैंक से जुड़े घोटाले में मनी लॉन्ड्रिंग का केस दर्ज किया है. ईडी ने एफआईआर में राष्ट्रवादी कांग्रेस पार्टी (एनसीपी) के प्रमुख शरद पवार, उनके भतीजे पूर्व मुख्यमंत्री अजीत पवार और महाराष्ट्र स्टेट कार्पोरेशन बैंक से जुड़े 70 लोगों को आरोपी बनाया है. यह 25 हजार करोड़ रुपये का घोटाला है. शुरुआत में मुंबई पुलिस ने इस मामले में एक एफआईआर दर्ज की थी.","बुधवार सितम्बर 25, 2019 02:01 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
287,"और बढ़ी केजरीवाल सरकार की मुश्किल, स्‍वास्‍थ्‍य मंत्री सत्‍येंद्र जैन के खिलाफ सीबीआई ने दर्ज किया केस",दिल्ली की अरविंद केजरीवाल सरकार के लिए लगातार मुश्किलें खड़ी हो रही हैं. एमसीडी चुनावों से ठीक पहले सीबीआई ने दिल्ली के स्वास्थ्‍य मंत्री सत्येंद्र जैन के खिलाफ मनी लॉन्ड्रिंग के मामले में एक प्राथमिक जांच दर्ज कर ली है. सत्येंद्र जैन पर हवाला काबोरियों के साथ सीधे संपर्क रखने का भी आरोप था.,"मंगलवार अप्रैल 11, 2017 10:06 PM IST",NDTV News,Money Laundering,Anti AAP,Neutral,अरविंद केजरीवाल सरकार के लिए लगातार मुश्किलें खड़ी हो रही हैं.,
219,कर्नाटक कांग्रेस के दिग्गज नेता डीके शिवकुमार 13 सितंबर तक ED की रिमांड पर,कर्नाटक कांग्रेस के दिग्गज नेता डीके शिवकुमार (DK shivakumar) 13 सितंबर तक ED की रिमांड में रहेंगे. डीके शिवकुमार (DK shivakumar) को प्रवर्तन निदेशालय (ED) ने मनी लॉन्ड्रिंग (Money Laundering) के मामले में मंगलवार रात को गिरफ्तार किया था.,"बुधवार सितम्बर 4, 2019 07:45 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
210,"कर्नाटक कांग्रेस के नेता डीके शिवकुमार की ईडी हिरासत 17 सितंबर तक बढ़ी, कोर्ट ने कहा- उनके स्वास्थ्य का ध्यान रखा जाए",कर्नाटक के कांग्रेस के नेता डीके शिवकुमार की हिरासत अवधि बढ़ा दी गई है. दिल्ली के राउज़ एवेन्यू कोर्ट ने उन्हें 17 सितंबर तक के लिए ईडी की रिमांड में भेज दिया. कोर्ट ने कहा कि डीके शिवकुमार की मेडिकल जरूरतों का ध्यान रखा जाए. प्रवर्तन निदेशालय (ईडी) द्वारा एक धनशोधन मामले में गिरफ्तार डीके शिवकुमार की नौ दिन की हिरासत अवधि पूरी होने के बाद शुक्रवार को अदालत में पेश किया गया.,"शुक्रवार सितम्बर 13, 2019 07:07 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
34,"कहीं रोकी ट्रेन, तो कहीं जलाई कार, पढ़िए आज कांग्रेस ने देशभर में कितना काटा बवाल"," नैशनल हेराल्ड केस में पूछताछ के लिए सोनिया गांधी आज ED के दफ्तर पहुंची, जिसके विरोध में कांग्रेस देशभर में प्रदर्शन कर रही है. इस दौरान एक कार्यकर्ता ने विरोध जताते हुए अपनी ही कार में आग लगा दी. ","Jul 21,2022, 16:20 PM IST",ZEE News,Money Laundering,Anti Congress,Neutral,कांग्रेस ने देशभर में कितना काटा बवाल,
142,कांग्रेस अध्यक्ष सोनिया गांधी कल ईडी के सामने पेश नहीं होंगी : सूत्र,प्रवर्तन निदेशालय (Enforcement Directorate) ने कांग्रेस प्रमुख सोनिया गांधी (Sonia Gandhi)और उनके बेटे राहुल गांधी (Rahul Gandhi) को समन भेजा था.,"मंगलवार जून 7, 2022 05:38 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
146,कांग्रेस प्रमुख सोनिया गांधी और राहुल गांधी को मनी लॉन्डरिंग केस में ED ने भेजा समन,प्रवर्तन निदेशालय ने कांग्रेस प्रमुख सोनिया गांधी (Sonia Gandhi)और उनके बेटे राहुल गांधी (Rahul Gandhi)को समन भेजा है. मनी लांड्रिंग मामले में यह समन भेजा गया है.,"बुधवार जून 1, 2022 02:20 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
195,कुछ ही दिन में ठाकरे सरकार के आधे मंत्री अनिल देशमुख के साथ होंगे' : मनी लांड्रिंग केस में BJP का तंज,"बीजेपी नेता किरीट सौमैया ने तंज के भाव में कहा, 'मेरा मानना है कि अगले कुछ दिनों में ठाकरे सरकार के आधे मंत्री और नेता, अनिल देशमुख के साथ होंगे.' उन्‍होंने एनसीपी प्रमुख शरद पवार और अजीत पवार पर भी गंभीर आरोप लगाए हैं.","मंगलवार नवम्बर 2, 2021 02:13 PM IST",NDTV News,Money Laundering,Pro BJP,Neutral,मनी लांड्रिंग केस में BJP का तंज(taunt),
304,कोर्ट ने मनी लॉन्ड्रिंग कानून के तहत दिया महाराष्ट्र में पहली कुर्की का आदेश,एक विशेष अदालत ने धन शोधन रोधी (मनी लॉन्ड्रिंग) कानून (पीएमएलए) कानून के तहत एक कंपनी के 2.60 करोड़ रुपये की बैंक जमा राशि की कुर्की का आदेश दिया गया. इस कानून के तहत महाराष्ट्र में कुर्की का यह पहला आदेश है.,"गुरुवार अप्रैल 12, 2018 12:56 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
305,कोर्ट ने मनी लॉन्ड्रिंग कानून के तहत दिया महाराष्ट्र में पहली कुर्की का आदेश,महाराष्ट्र में एक विशेष अदालत ने धन शोधन रोधी (मनी लॉन्ड्रिंग) कानून (PMLA) कानून के तहत एक कंपनी के 2.60 करोड़ रुपये की बैंक जमा राशि की कुर्की का आदेश दिया गया. इस कानून के तहत महाराष्ट्र में कुर्की का यह पहला आदेश है.,"गुरुवार अप्रैल 12, 2018 03:32 PM IST",NDTV News,Money Laundering,,,,Repeated
49,"क्या है नेशनल हेराल्ड केस, सोनिया और राहुल से क्या है इसका कनेक्शन",नेशनल हेराल्ड केस (National Herald Case) में राहुल गांधी सोमवार यानी की आज सुबह ED मुख्यालय में पेश हुए हैं. ED ने राहुल गांधी से पूछताछ के लिए सवालों की लंबी लिस्ट तैयार की है. राहुल गांधी के साथ प्रियंका गांधी वाड्रा भी मौजूद है. वहीं इस मामले में ED ने सोनिया गांधी को 23 जून को पेश होने के लिए कहा है. तो चलिए जानते हैं किया नेशनल हेराल्ड केस और क्यों चर्चा में आया.,"Jun 13,2022, 14:32 PM IST",ZEE News,Money Laundering,Neutral,Neutral,,
67,क्या है पतरा चॉल जमीन घोटाला? जिसमें मनी लॉन्ड्रिंग के आरोपों पर संजय राउत पर ED ने कसी नकेल,संजय राउत ने कुछ भी गलत करने से इनकार किया है और आरोप लगाया है कि उन्हें राजनीतिक प्रतिशोध के लिए निशाना बनाया जा रहा है.,"रविवार जुलाई 31, 2022 11:45 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
43,गांधी परिवार को बचाने के लिए सत्याग्रह कर रहे कांग्रेसी नेता!,DNA with Sudhir Chaudhary: कांग्रेस के नेताओं का सत्याग्रह आज भी जारी रहा. कल की तरह आज भी कांग्रेस के बड़े-बड़े नेताओं ने गांधी परिवार को खुश करने के लिए कैमरे के सामने खूब ड्रामा किया और बढ़-चढ़ कर अपनी गिरफ्तारियां दी.,"Jun 14,2022, 23:48 PM IST",ZEE News,Money Laundering,Anti Congress,Neutral,कांग्रेस के बड़े-बड़े नेताओं ने गांधी परिवार को खुश करने के लिए कैमरे के सामने खूब ड्रामा किया और बढ़-चढ़ कर अपनी गिरफ्तारियां दी.,
107,"गृहमंत्री अमित शाह की IAS अधिकारी के साथ फोटो शेयर करने पर बुरे फंसे फिल्ममेकर, पुलिस ने दर्ज किया केस",भारतीय प्रशासनिक सेवा (आईएएस) अधिकारी पूजा सिंघल के साथ केंद्रीय गृह मंत्री की तस्वीर साझा करने के मामले में फिल्मकार अविनाश दास के खिलाफ मामला दर्ज किया है.,"मंगलवार मई 17, 2022 07:41 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
117,"गृहमंत्री अमित शाह की IAS अधिकारी के साथ फोटो शेयर करने पर बुरे फंसे फिल्ममेकर, पुलिस ने दर्ज किया केस",भारतीय प्रशासनिक सेवा (आईएएस) अधिकारी पूजा सिंघल के साथ केंद्रीय गृह मंत्री की तस्वीर साझा करने के मामले में फिल्मकार अविनाश दास के खिलाफ मामला दर्ज किया है.,"मंगलवार मई 17, 2022 07:41 AM IST",NDTV News,Money Laundering,,,,Repeated
137,"गृहमंत्री अमित शाह की IAS अधिकारी के साथ फोटो शेयर करने पर बुरे फंसे फिल्ममेकर, पुलिस ने दर्ज किया केस",भारतीय प्रशासनिक सेवा (आईएएस) अधिकारी पूजा सिंघल के साथ केंद्रीय गृह मंत्री की तस्वीर साझा करने के मामले में फिल्मकार अविनाश दास के खिलाफ मामला दर्ज किया है.,"मंगलवार मई 17, 2022 07:41 AM IST",NDTV News,Money Laundering,,,,Repeated
213,"चिदंबरम को तिहाड़ भेजे जाने के बाद कांग्रेस का आया Reaction, कहा- 'सत्ताधारी पार्टी वाशिंग मशीन की तरह है, जिसमें...'",पूर्व वित्त मंत्री पी चिदंबरम (P Chidambaram) को सीबीआई कोर्ट ने मनी लॉन्ड्रिंग मामले में 19 सितंबर तक के लिए तिहाड़ जेल भेज (Tihar Jail) दिया. कांग्रेस (Congress) ने आरोप लगाया कि विपक्षी नेताओं को चुनिंदा ढंग से निशाना बनाया जा रहा है.,"गुरुवार सितम्बर 5, 2019 11:22 PM IST",NDTV News,Money Laundering,Neutral/Pro Congress,,कांग्रेस (Congress) ने आरोप लगाया कि विपक्षी नेताओं को चुनिंदा ढंग से निशाना बनाया जा रहा है.,
103,"चीनी वीजा मामला: ईडी ने कार्ति चिदंबरम, अन्य के खिलाफ धनशोधन का मामला दर्ज किया",ईडी (ED) ने 2011 में 263 चीनी नागरिकों को वीजा जारी किए जाने में कथित अनियमितता के सिलसिले में कांग्रेस सांसद कार्ति चिदंबरम (Karti Chidambaram) और अन्य के खिलाफ धनशोधन (Money Laundering) का मामला दर्ज किया है.,"बुधवार मई 25, 2022 05:40 PM IST",NDTV News,Money Laundering,Neutral,,कांग्रेस सांसद कार्ति चिदंबरम (Karti Chidambaram) और अन्य के खिलाफ,
113,"चीनी वीजा मामला: ईडी ने कार्ति चिदंबरम, अन्य के खिलाफ धनशोधन का मामला दर्ज किया",ईडी (ED) ने 2011 में 263 चीनी नागरिकों को वीजा जारी किए जाने में कथित अनियमितता के सिलसिले में कांग्रेस सांसद कार्ति चिदंबरम (Karti Chidambaram) और अन्य के खिलाफ धनशोधन (Money Laundering) का मामला दर्ज किया है.,"बुधवार मई 25, 2022 05:40 PM IST",NDTV News,Money Laundering,,,,Repeated
133,"चीनी वीजा मामला: ईडी ने कार्ति चिदंबरम, अन्य के खिलाफ धनशोधन का मामला दर्ज किया",ईडी (ED) ने 2011 में 263 चीनी नागरिकों को वीजा जारी किए जाने में कथित अनियमितता के सिलसिले में कांग्रेस सांसद कार्ति चिदंबरम (Karti Chidambaram) और अन्य के खिलाफ धनशोधन (Money Laundering) का मामला दर्ज किया है.,"बुधवार मई 25, 2022 05:40 PM IST",NDTV News,Money Laundering,,,,Repeated
288,छगन भुजबल को वीआईपी ट्रीटमेंट : डॉ लहाने अदालत की अवमानना के दोषी,जेजे अस्पताल के डीन डॉक्टर तात्याराव लहाने को सत्र न्यायालय ने अदालत की अवमानना का दोषी करार देते हुए आगे की कार्रवाई के लिए मामला हाई कोर्ट को सौंप दिया है. सामाजिक कार्यकर्ता अंजलि दमानिया ने डॉ लहाने पर मेडिकल ट्रीटमेंट के नाम पर आरोपी छगन भुजबल को बॉम्बे हॉस्पिटल में भेजकर वहां वीआईपी ट्रीटमेंट दिलवाने का आरोप लगाया था.,"शुक्रवार जनवरी 13, 2017 08:02 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
